,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p,29_n,29_p,30_n,30_p,31_n,31_p,32_n,32_p,33_n,33_p,34_n,34_p,35_n,35_p,36_n,36_p,37_n,37_p,38_n,38_p,39_n,39_p,40_n,40_p,41_n,41_p,42_n,42_p,43_n,43_p,44_n,44_p,45_n,45_p,46_n,46_p,47_n,47_p,48_n,48_p,49_n,49_p,50_n,50_p,51_n,51_p,52_n,52_p,53_n,53_p,54_n,54_p,55_n,55_p,56_n,56_p,57_n,57_p,58_n,58_p,59_n,59_p,60_n,60_p,61_n,61_p,62_n,62_p,63_n,63_p,64_n,64_p,65_n,65_p,66_n,66_p,67_n,67_p,68_n,68_p
119,INSR,0.0,CD44,0.0,UBE2S,0.0,CST7,0.0,TRIM29,0.0,PDLIM5,0.0,KIAA1217,0.0,OLR1,0.0,S100A9,0.0,PRKG1,0.0,CLMN,0.0,ENPP2,0.0,ADAMTSL3,1.2865474757601858e-05,DNAJB4,3.259845533994591e-94,SYTL3,7.510256571613315e-105,AHR,1.6563892314329795e-178,FGFR1,0.0,BASP1,2.544780246450315e-217,PTPN7,1.330195241906934e-79,HSPD1,1.7715029592558567e-135,TMED2,3.9283192097537104e-110,TBX21,2.8109911690031486e-94,CRYBG1,7.613525414090293e-05,AMACR,1.4062912146557017e-113,MALAT1,0.5284263643242804,BLK,1.2875063700064814e-95,ITM2B,9.465975793808737e-12,EDF1,1.840397492937755e-09,PLAUR,1.3493391691272286e-08,GBP1,1.5365721688062228e-105,TRA2B,5.516190704799818e-08,COX7A2,1.399062417747506e-30,F13A1,1.0115146012096999e-11,PYGL,7.00198017326403e-31,SEMA3C,9.885979995123133e-29,UCP2,1.5557267030606333e-16,BMP4,6.979664743318607e-67,B2M,5.821405089208568e-22,HMG20B,3.736295549292316e-23,CD164,2.191014678056942e-15,UQCC3,9.498195028168818e-27,NFIB,5.8359245630078076e-24,TYMP,0.01067191061031438,SDCBP,2.184168666229612e-08,CPNE2,5.9810362943992685e-24,CLDN3,1.0463428327774047e-06,TMED3,1.6312807663117365e-22,RAC2,5.842318633624147e-10,RPL41,1.0391364235431246e-05,PKM,2.462275945758867e-08,MAL2,9.874791171909786e-07,TPD52,2.0032472101308992e-07,KLK3,4.392556495874613e-06,EIF1AY,0.00268888514571748,CLEC7A,0.00015966373334245723,JUND,0.002523900862991897,UQCR11,0.0008232101523449936,DSTN,8.675283018286485e-07,PRDX1,1.265625961994862e-07,FOXA1,7.847465173547095e-06,PTMS,3.3146070587353286e-08,ZFP36L1,0.0067432246266167185,MLYCD,0.19019990786822716,CLU,0.0005131295064770568,CD69,0.0012643279886148733,MAFB,8.509721637101093e-05,BAZ1A,0.0007196966217844003,DANCR,1.9278759906236404e-06,TMSB10,0.00027716802342382137
120,TM4SF1,0.0,LCP1,0.0,ADGRE5,0.0,LIME1,0.0,MT-ATP6,0.0,RCN1,0.0,RPLP0,0.0,VAMP8,0.0,BCL2A1,0.0,COL6A3,0.0,FILIP1,0.0,ERG,0.0,RPL13A,1.3155851025414719e-05,TNFSF14,1.4756838164205544e-93,GIMAP4,4.018993332753881e-103,PTGS2,1.8285334758388923e-177,COL14A1,0.0,HMOX1,2.71991007986499e-217,ATM,2.3170520420306712e-79,DNAJB1,2.7056761090266583e-133,ABHD2,7.23409456992694e-110,RPS27,3.9957892829421106e-94,DUSP2,7.854931214074866e-05,TACSTD2,3.99462634276073e-113,ZC3H12D,0.5538845822720995,HSP90AA1,4.221773854026284e-95,HLA-DRB5,1.1071827293956171e-11,COX7C,1.8427923570184692e-09,PTGS2,1.4523652778300533e-08,CD59,3.149104932969771e-105,PLK2,5.967777407979029e-08,FOXA1,1.4588648227469983e-30,KCTD12,1.111243709282642e-11,NDRG2,1.173190624469724e-30,CSRP1,1.7276212094665588e-28,MIR181A1HG,1.702292661147131e-16,GCNT1,7.787430520059813e-67,GZMK,9.533609042748318e-22,RPL41,3.872768905647956e-23,LDLRAD1,2.446168716482329e-15,NDUFB1,1.044548029827124e-26,UTRN,6.193005812223011e-24,DNAAF1,0.010979477141286114,SRP14,4.586104646379101e-08,RNASE1,6.478680708591127e-24,PLPP1,1.2849829660651328e-06,CLDN7,1.7433438146860134e-22,RNASEK,6.570448634135255e-10,MPC2,1.0876935717869283e-05,PDIA3,3.1690975188773976e-08,IL7R,1.0977429835725738e-06,ACP5,2.464725186089136e-07,SLC44A4,4.633172746568382e-06,ID1,0.002848575407551682,REL,0.00016765440753002117,SPOCK3,0.002548807404504965,ANXA1,0.0008590705969244656,MIF,8.942496360217874e-07,GABARAP,1.2825635283009765e-07,PLPP5,8.01370605110717e-06,GNL3,3.454283283431275e-08,CD84,0.006878583448376663,H3F3A,0.2058179962996829,CAVIN2,0.0005426600311807784,FAM153CP,0.0012879404769502352,NUCB2,8.643294309039234e-05,COPB1,0.0007330538461418689,AP001816.1,2.0560559948345777e-06,FASN,0.000289339371755306
121,HLA-DPA1,0.0,RPL35A,0.0,S100A10,0.0,PFN1,0.0,GBP1,0.0,ZKSCAN1,0.0,PRRG4,0.0,RASSF4,0.0,SOD2,0.0,RNF152,0.0,MT1E,0.0,GAS6,0.0,GNG11,1.5763644417512172e-05,DDIT4,1.256926953180737e-91,TBC1D10C,8.001415186760955e-101,STXBP6,2.526703400770647e-177,KANK2,0.0,PILRA,3.780183423116002e-217,PTPN22,2.4889509604834412e-79,NIBAN1,4.738909354221996e-133,TBX3,5.08394685115e-109,CELF2,1.579410054770953e-93,SFPQ,8.263942141432204e-05,RPS28,4.094837852190355e-113,P2RY10,0.5562578935818072,STIP1,9.732887134018038e-95,YWHAH,1.753541846175759e-11,RPL22,1.9506462417723865e-09,GEM,3.0117573087279914e-08,ASPH,6.618699668785165e-104,HMBOX1,6.158649643958818e-08,ATP5ME,1.7523055905775226e-30,ARHGDIB,1.4357720908869333e-11,WWC3,1.2793393476566552e-30,SGCB,1.7911489647031487e-28,LGALS9,3.0650305176553953e-16,MESP1,1.2339319899431233e-66,CLEC2B,1.0004592419386041e-21,AP001816.1,2.332629993131183e-22,PRDX5,3.1237932931538344e-15,ATP6V0B,1.3700216555640098e-26,MARCKSL1,6.580092440541135e-24,QPRT,0.01106647889852934,GAPDH,4.7052556661698335e-08,GAS6,7.47684244359767e-24,MAFF,1.3704962549098068e-06,ANO7,2.0633919234709178e-22,M6PR,7.508379207868595e-10,KRT18,1.1026836504746933e-05,ATP6V0C,3.58069599618179e-08,STMN1,1.2522082150197777e-06,HSPH1,2.540985282248908e-07,CYP7B1,5.014943430596627e-06,ATP5MD,0.0030194711659529945,NPY,0.0001698352944855707,ANXA5,0.0029450333830269744,TPD52,0.0008623750851805305,CTSH,9.372443090105251e-07,NDUFB1,1.5478603131879652e-07,SNHG8,9.298009548845714e-06,TMEM141,3.815305228713683e-08,RAB5C,0.006966538593420871,LMOD1,0.20701471142464878,RPL35,0.0005443110603629033,IGFBP5,0.0013049186797663161,FOS,0.00010513052062145374,TUBB2A,0.0007341736874720871,ATP5ME,2.162340967977216e-06,CDC42EP5,0.0002981754056042773
122,THBD,0.0,GPSM3,0.0,EIF1,0.0,GMFG,0.0,DLK2,0.0,ALCAM,0.0,SH3YL1,0.0,TNFAIP2,0.0,PMEPA1,0.0,PDE5A,0.0,CDH6,0.0,IFI16,0.0,INSR,1.647861571803133e-05,MT-ND2,1.714578823405902e-91,CLEC2D,1.1153496493012734e-100,RPS25,2.6953980564228846e-177,PEMT,0.0,APOC1,1.8958840647642773e-214,DEDD2,2.968483234492757e-79,RORA,1.6912405413131372e-132,CD9,1.0481098968691443e-108,RPSA,1.21880666278762e-90,SLC2A3,0.00010200281888216515,UQCR10,6.700490032728805e-112,TRAV6,0.5774813224722299,RPS19,1.986744330283062e-94,C3,2.1933939161649872e-11,GNMT,3.826483672425938e-09,CNN1,4.510635734872657e-08,CNN3,1.520729284510177e-103,PCF11,6.475021579492885e-08,ERRFI1,2.325352653002198e-30,RPS12,1.9246347131253106e-11,ENPP4,3.352438687827837e-30,RNASE1,4.33569235167475e-28,HSPA1A,3.45100632753295e-16,PIAS2,1.5418187537423252e-66,KMT2E,1.131013991877103e-21,RPS27L,2.888685299126337e-22,GALNT7,3.2375315055082577e-15,ADI1,1.5652544890807558e-26,GNG12,1.4157426716953606e-23,C2orf88,0.01109677426829375,SPRY1,6.443125029994631e-08,LMCD1,1.2989703857210819e-23,PLPP5,1.4086578812294356e-06,NPDC1,2.075435279531887e-22,HSP90B1,9.766439201124187e-10,LDLR,1.1777753340062064e-05,SNX10,3.6293824022160325e-08,HAS2,1.2587341162187803e-06,KCTD12,2.769961592463243e-07,NFKBIA,5.239936120979428e-06,UQCRH,0.0030719131694796746,RRAD,0.00018286506164869046,TRBC1,0.002971649368678575,MTRNR2L12,0.0008797599843791498,ALAS1,9.594396606058381e-07,BHLHE41,1.5783791960383667e-07,GLO1,9.622466750084733e-06,HSD17B6,3.928229507672127e-08,SLTM,0.007059248800570132,RPL22,0.20787918399776095,HSPA1B,0.0005452279758071939,B4GALT1,0.0013446949669434348,KLK4,0.00011461106272674108,CLEC10A,0.0007568625805750892,TMEM141,2.2037177364895043e-06,SH3BGRL3,0.00030743479919170374
123,TPD52L1,0.0,RPS10,0.0,YWHAZ,0.0,TRBC1,7.599004952541318e-308,CIRBP,0.0,NAAA,0.0,CROT,0.0,FCGR2B,0.0,COX7C,0.0,ARHGAP42,0.0,CAMK2N1,0.0,SWAP70,0.0,CD63,1.726571807846164e-05,RPL13,2.0005113737676374e-90,LYAR,5.230579443816565e-100,SYAP1,6.3626050480285014e-173,CXCL12,0.0,SERF2,5.961896610730767e-214,IKZF3,6.52080988565155e-78,PRDM1,2.424034082585484e-130,TUSC3,1.370665942017272e-108,IKZF3,1.5670488303201833e-89,IL10RA,0.00014094649521070792,STEAP4,2.4261654092873747e-111,DUSP4,0.598146808658141,RPL41,1.4495087724888598e-93,PLA2G2A,5.763396945909765e-11,NCAPD3,4.5447631551165465e-09,FGL2,1.1296811499404322e-07,DUSP14,3.21616487942264e-103,ADAMTS4,6.572608842191611e-08,FOLH1,2.4528300989802125e-30,YWHAH,2.1978728208929826e-11,FAM110C,6.979154072635176e-30,PCSK2,5.192439979689822e-28,ARPC2,3.6483306531589195e-16,BIK,1.6493784982451683e-66,PGK1,1.2236860935524937e-21,TXNDC17,3.593039654126596e-22,PPDPF,4.912347506801821e-15,RPLP0,1.6513068903128297e-26,HTRA1,1.477931973629206e-23,MARCH8,0.01125714922666289,REL,8.436046982692056e-08,COX7A1,1.910104557267753e-23,TRIB1,1.4432772503159775e-06,HOXB13,2.473571501813918e-22,YWHAH,1.0699787168000304e-09,ERN1,1.1982452304968923e-05,KRT19,3.748706975159635e-08,CENPW,1.2656081714189024e-06,YWHAH,2.994714997682752e-07,EZR,5.2441614918790075e-06,NRAP,0.0032422194573387326,HNRNPC,0.00019712000989495452,ATP5F1E,0.002972761399768157,HEBP2,0.0009194895823938443,C15orf48,1.0017554304161432e-06,FGL2,1.6640048456410485e-07,SOX4,9.693503499853446e-06,TM7SF2,4.604161792245263e-08,RNF130,0.007315855545160635,PLPP1,0.2081241196775312,NDUFA13,0.0005456711394636659,YTHDC1,0.0013511751457885245,TMED10,0.00011895910539683817,ELOB,0.0007809159139340251,IL23A,2.2519962693625777e-06,SOD2,0.00033247611839514455
124,RAB13,0.0,FAM107B,0.0,BUB3,0.0,ERN1,3.0077538937894535e-307,TBX3,0.0,MAL2,0.0,RPS24,0.0,GPR34,0.0,NDUFA3,0.0,TGFB1I1,0.0,NEXN,0.0,TIE1,0.0,SAT1,1.9223104339729153e-05,SCML4,4.2025010550633585e-90,APBB1IP,7.331733130447235e-100,BHLHE40,5.601667954362528e-172,LMO4,0.0,FCN1,6.376047417664994e-212,AC243960.1,1.0352300932737544e-77,CXCR6,8.795545776038343e-130,NEAT1,4.113948699172717e-108,CCDC88C,2.3207726367642272e-88,PCNX1,0.00015464137618037484,TUSC3,2.247908710284901e-109,CALM1,0.6169247762467056,ARHGAP24,3.213040850785982e-92,CTSB,9.793765909680994e-11,RPL37,5.388868230797337e-09,PCP4,1.2153750350746526e-07,NEDD9,6.247936258207242e-103,THBD,6.642611078702477e-08,PGM3,7.973628853950128e-30,RAC1,3.067264570274602e-11,KRT7,8.415751656758095e-30,CTNNAL1,1.3213450092678122e-27,PPT1,3.9567422316832223e-16,CADM1,3.5243944649532073e-66,HOPX,3.58244604475862e-21,LYPLA1,3.6354881052961024e-22,TEX9,6.118529345475967e-15,TMEM238,2.388746344663523e-26,BCAP29,1.6077540133934886e-23,TPD52,0.013266190781525222,CCR7,8.548701247018313e-08,SPRY1,2.4838430736277753e-23,RPS11,1.7640392963248177e-06,C6orf48,2.673527550726829e-22,ARPC2,1.4184691755529724e-09,MSMB,1.2107095338283905e-05,DHRS7,4.033071609957346e-08,MT-CO2,1.6691697426608943e-06,STEAP2,3.4976467816738245e-07,SELENOW,5.992784105157964e-06,ACTC1,0.0035290234113049953,PPP1R15B,0.0002037727496796711,IGF1,0.003107965172696806,DNAJA4,0.0009608033562964617,IFI6,1.1011283291731203e-06,CSTA,1.8944259689810975e-07,MT2A,1.0221933821607806e-05,PLPP1,4.7990452283656e-08,DOCK4,0.009337371805693514,FKBP9,0.22138064708401362,EPCAM,0.0005511112165699197,IFNGR2,0.0013657525413015624,COX6A1,0.00012324058622808736,SERP1,0.000791356495996516,NME2,2.2911909025641125e-06,ATP5ME,0.00033456963263399695
125,CFI,0.0,RPL6,0.0,RGS1,0.0,PRDM1,7.149072655820213e-307,MEIS2,0.0,PLPP1,0.0,BTG3,0.0,MARCKS,0.0,MARCKSL1,0.0,JAG1,0.0,TPPP3,0.0,KLF9,0.0,RAMP3,1.949467216673382e-05,EMB,3.0162423467865377e-89,LEPROTL1,4.069855857276323e-99,NDEL1,6.916641130880569e-168,MYL9,0.0,LIMS1,5.958687113187261e-211,SOCS1,1.1756889893436086e-77,SMC4,1.4128363814079632e-129,ALDH6A1,6.559117540449885e-108,METRNL,5.318244707425656e-88,ARHGAP9,0.00016700994700287269,SNHG19,7.420151839567086e-109,IL22,0.6555623685863617,HLA-DMA,4.386414665082438e-92,PLAU,1.0979195036753165e-10,SEPT2,1.1280592056013641e-08,SRGN,2.651384976444611e-07,MYL9,1.2891280333714588e-102,LUZP1,7.24073112826008e-08,TSTD1,1.0940033301694196e-29,CTSD,3.2660975586662715e-11,CLDN4,1.6315573886309726e-29,SNCA,1.6023511651530205e-27,LST1,4.905713999791848e-16,CBR3-AS1,4.5729307711178077e-66,PNRC1,3.6264810942535456e-21,TUSC3,6.627030825763453e-22,IFT22,6.702929811915767e-15,HLA-DQA1,2.59525716141713e-26,LHFPL6,1.7475517356338765e-23,AL391056.1,0.013827339115749397,DBI,9.674631230625055e-08,ABCG2,3.063272977611092e-23,CKB,2.0619399591053445e-06,SPINT2,2.7265193011297964e-22,RHOF,1.5110291654453735e-09,ERRFI1,1.2461121085992847e-05,LILRB4,4.2830962340071e-08,S100A14,1.8603911159789332e-06,GPR183,3.7320711080323186e-07,CAPN2,6.588131409792128e-06,ID2,0.0035565435367635842,ACSL1,0.00022726405007491532,RPL21,0.003326275523107057,KRT18,0.0009755583056506403,LPAR6,1.2169090165322734e-06,CCL4L2,1.979260117960353e-07,TM9SF3,1.0552922126713119e-05,TPD52,5.645657984100075e-08,ATP6V0C,0.009790770955014991,SMPX,0.2223065587458496,PLA2G2A,0.0005617310221882242,HSPA6,0.0014036965279005497,ATF3,0.0001232703136133278,SELENOP,0.0007914181114504965,RPL17,2.3690455476810304e-06,MAP7,0.0003557114377070148
126,UACA,0.0,CELF2,0.0,FKBP4,0.0,ATP5F1E,9.292181142093353e-305,RPL11,0.0,NUPR1,0.0,ITGA2,0.0,SIGLEC10,0.0,RPS21,0.0,CAVIN3,0.0,RASL11A,0.0,TIMP2,0.0,CYP3A5,2.116973950308815e-05,SH3BGRL3,8.349390670604046e-89,CLK1,7.672238816036868e-99,LEO1,1.3551240117026715e-166,COL18A1,0.0,H2AFY,5.11429571332171e-210,RPS3,1.288914847758546e-77,ZC3H7A,3.060445033816626e-129,VMP1,1.9074074639344796e-107,FLNA,7.392230288578201e-88,AC058791.1,0.0003026310466280968,SLC39A6,9.055451415709539e-109,ZFP36,0.6562552635480705,HSPD1,7.131882953098541e-92,CCL4L2,1.557494621046919e-10,RPL23A,1.571379657536113e-08,CRIP1,3.4734735706848086e-07,IRF2BP2,2.2638241000479834e-102,PREX2,1.0281152051857676e-07,MYO6,1.2043633435552217e-29,GMFG,9.248829498485458e-11,AP3S1,2.151580039229545e-29,CAVIN3,1.7642070661593693e-27,RPS29,5.337913512450778e-16,SP5,4.979017370533745e-66,IFITM2,7.131381274930767e-21,ANPEP,6.852258017747447e-22,COBL,6.731677910984451e-15,POLR2L,2.8072734359541127e-26,EFEMP1,2.243445109760424e-23,FCGR2B,0.014024725565901373,KLK2,2.04604571898165e-07,ACE,3.080588370870332e-23,ACTB,2.1685862575017644e-06,AC020571.1,2.781331121538209e-22,MGST3,1.557661772490923e-09,CCL2,1.4511177045518678e-05,TSPAN1,4.834127251276158e-08,LMO7,2.1251301416127044e-06,HSPA6,5.243795001534682e-07,PLA2G2A,6.716621061403626e-06,PDK4,0.003640233534043001,AQP9,0.00023624503933820712,PDCD4,0.0033477417954931848,SMDT1,0.001000041934660517,TSPAN13,1.3387885855033669e-06,FCGR3A,2.054517093293707e-07,APLP2,1.2507444524210868e-05,TFF1,5.979726119261284e-08,MARVELD1,0.010993572286761613,SLN,0.22234566405364686,HES1,0.0005760282439142763,KCTD12,0.0014187426135216545,MKNK2,0.0001241380748109137,PRDX6,0.0008663531426801646,RPL10A,2.4557878361914466e-06,TBC1D9,0.000360556968472641
127,PTPRG,0.0,RPS15,0.0,BCL11B,0.0,TRAF3IP3,1.586077001418702e-303,MT-ND4,0.0,SPINT1-AS1,0.0,NEDD4L,0.0,RGS18,0.0,TACSTD2,0.0,FERMT2,0.0,CAV2,0.0,PALM2-AKAP2,0.0,HNRNPH1,2.7825331001694355e-05,FKBP5,2.937576073639835e-88,TAGAP,1.7615243765969034e-96,SLC26A2,1.5049535517696644e-165,HSD11B1,0.0,CLEC4E,7.070994605424651e-206,RPS10,1.359325492210696e-76,TMSB4X,8.219215964341435e-129,AP001816.1,3.9016149001154073e-107,CDC42SE1,1.1705334926725754e-87,POLR2J3,0.00031479782535123117,ERGIC1,9.723864631883557e-109,C1orf56,0.6680455714519871,STK4,8.443556280324935e-92,NLRP3,1.7934597365780709e-10,CFB,1.8907535338318383e-08,YBX3,4.4785080110759587e-07,NCOA7,2.408927680986256e-102,THSD7A,1.2739189968898918e-07,CALM2,1.5562505932192893e-29,CXCL16,1.1095965269191539e-10,ENPP3,1.1523289539759223e-28,AATK,3.896541830562546e-27,PARVG,6.015878795105428e-16,FARP1,5.012855423391098e-66,CCSER2,7.460126581683721e-21,PET100,7.927877783554533e-22,EZR,6.7997259554510364e-15,TUBB4B,3.327898527538872e-26,GRAP,3.7856862255709705e-23,TXLNB,0.014268898216273543,INSIG1,2.477277815642224e-07,LRRC32,4.392855965894244e-23,NDUFA4L2,2.193021755548653e-06,COX7A2,2.792806925524124e-22,ARRB2,1.5803270883537298e-09,IFI30,1.4596120241953696e-05,CYBB,4.8386437210785265e-08,AZGP1,2.8799821196440597e-06,RNASET2,6.925039087726344e-07,AREG,7.461287628359291e-06,DNAJB1,0.003670158081046315,PLSCR1,0.00024034691872803736,COL6A1,0.0034510738597675204,LAMP2,0.0010153229738780244,ADM,1.353095008563689e-06,MICOS10,2.0551893221382867e-07,MME,1.4102455036588001e-05,AMACR,6.368886729269035e-08,PEA15,0.011229103039151455,TRDN,0.22312320392628782,RPS23,0.0005872750143807837,WFDC2,0.0014223948080017532,ATP6V0C,0.0001275609226602291,FAM162A,0.000873162805570686,ARG2,2.688380275663221e-06,SLC4A4,0.00036263224593575645
128,MGST2,0.0,PLAAT4,0.0,PPP1R2,0.0,FYN,2.777214151423633e-303,KIAA1217,0.0,FBP1,0.0,COMT,0.0,JAML,0.0,ATP5MF,0.0,CAVIN1,0.0,UTRN,0.0,SASH1,0.0,H3F3B,2.7962094118810362e-05,ARHGDIB,3.7238059084440756e-88,UBE2S,2.040340892465889e-96,ATP6V1F,2.0762942288179345e-165,LSAMP,0.0,ATP6V0B,5.68760330962787e-205,CLEC2B,5.690974568860036e-76,FNBP1,4.0580294420247703e-128,TMSB15A,2.435387242501763e-106,HSPA6,6.506422409119841e-87,CBLB,0.00032836301001399015,FOLH1,9.828908006128456e-109,LRRC75A,0.687890519723318,EEF1G,8.581959576405835e-92,SPI1,4.5583598223113083e-10,TBX3,2.935762568341237e-08,CRYAB,6.243829605540044e-07,CCN1,3.72208579431103e-102,HIF3A,1.284340086771068e-07,AMACR,3.015767333781742e-29,RNASET2,1.2044773992610164e-10,ANXA13,1.5076141795353293e-28,WSB1,4.188354500443024e-27,MAP3K8,7.2553117287766e-16,APCDD1,5.130195646489379e-66,GSPT1,8.277796657427785e-21,CNTNAP2,9.940509505745308e-22,ENKUR,1.0117774650084967e-14,SELENOW,3.663454005831713e-26,FKBP1A,4.415930007541675e-23,LIME1,0.014528078171292978,SDS,2.616096043867161e-07,RBP1,6.249739084456682e-23,AIF1,2.463227342427855e-06,SEZ6L2,3.1980690363028794e-22,CYBB,1.6306895080871893e-09,MAF,1.5252065149092046e-05,GNG5,5.13391729930702e-08,CLCA4,3.539934809734387e-06,MICOS10,7.477107814152986e-07,CCDC186,7.6411659191558e-06,HSPB6,0.003714202983177437,DSTN,0.00024477882215022715,IFITM3,0.0035658485457403673,UBC,0.0011580096675161775,TIMP1,1.3928204958672319e-06,LILRB4,2.3380289158135526e-07,CALR,1.5468569750718083e-05,RPS20,6.534476335884192e-08,IPP,0.011433832955352337,RPS2,0.22314934209597403,COMMD6,0.0006337914610225377,MDM2,0.001433536893138825,SEC62,0.00013031575448587093,CHMP1B,0.00087756056097898,SAT1,3.1573034501153767e-06,PGF,0.0003630986366906788
129,FAM110D,0.0,RPL9,0.0,STAT4,0.0,GPSM3,4.316533850464471e-303,MYOF,0.0,TRGC1,0.0,HPGD,0.0,LITAF,0.0,COX7A2,0.0,SLIT3,0.0,TBX2-AS1,0.0,CLDN5,0.0,CCN2,2.8681101868918363e-05,EVI2A,9.025438018320688e-88,CD44,8.716357981528543e-95,PAK1,7.344868334025113e-165,ISL1,0.0,MGAT1,3.91695861910173e-204,TGFB1,1.0173457836983265e-75,TNFAIP3,4.939625650249917e-128,AMACR,3.841254096072373e-106,JAK1,4.904234429035587e-86,TNFSF14,0.0003931638240264733,STEAP1,7.958277769029056e-108,DDIT4-AS1,0.6937739998917056,CXCR4,2.666700308536289e-91,GADD45B,6.431976004082672e-10,TCEA3,4.7078460363490035e-08,NAMPT,1.1749350085027726e-06,SNCG,3.892631515712078e-102,SMG1,1.39681144506039e-07,TRPM8,4.7013202693529934e-29,RPS25,1.2079327365338503e-10,MCF2,1.8047584170429444e-28,FOXD3,1.2473288181891402e-26,RPS23,1.3867203218908074e-15,MLPH,7.139575556650579e-66,TPM3,9.685962598590329e-21,BNIP3,1.1985254222603575e-21,CCDC113,1.1522466078257478e-14,BSG,7.973769415537612e-26,NRN1,5.64885814084026e-23,CPNE5,0.014571801594083843,EIF4A3,2.8838595832990166e-07,ADGRL4,6.656735734101282e-23,STEAP4,3.0592094416632896e-06,GDF15,3.543881956496094e-22,BIRC5,2.033328157844674e-09,MT2A,1.5394720000602862e-05,PPP3CA,6.050684154924657e-08,ACTG1,3.968195801941968e-06,ID2,8.904445390466391e-07,FTL,7.966230520038215e-06,CST7,0.0038914257409426744,CD68,0.00024496646943330164,FAU,0.0036527551505006767,FTL,0.0012389681776420944,TM9SF3,1.6925317875523105e-06,GLUL,2.545174887078774e-07,C1orf21,1.5586089706761563e-05,GNMT,6.982891910900595e-08,CTSH,0.011499321775553859,EEF1G,0.22347812314109383,BSG,0.0006457006705598727,KRT23,0.0015130267990095619,DEPP1,0.00013082365771041563,DSTN,0.0009121349706906669,CLDN3,3.3511602240763976e-06,TGFBI,0.0003638744178371166
130,TSHZ2,0.0,TNFAIP8,0.0,HSPA4,0.0,HSP90AA1,1.1504627555720115e-300,S100A2,0.0,HSP90B1,0.0,EMP2,0.0,TMSB10,0.0,RPL38,0.0,EHD2,0.0,EBF1,0.0,ITPRID2,0.0,SOX17,2.961473974159138e-05,TMSB4X,1.245463917484843e-87,RPS25,5.806233195770647e-94,RPL30,9.881048883521313e-165,PEBP1,0.0,FBP1,7.832994785845605e-203,WIPF1,2.790586047195244e-75,LAPTM5,1.2756674208468787e-127,NEDD4L,3.0818005106203913e-105,ARHGEF1,9.5955196811732e-86,PTGER4,0.0004948260916344149,ENTPD5,1.826465542228286e-102,PLN,0.7111908496383685,RPL14,6.044843477210672e-90,LY86,6.844186454116681e-10,GLO1,9.753746503128114e-08,RERGL,1.7438407077428956e-06,F11R,5.646505525118204e-102,VWF,2.0564217280251101e-07,MCCC2,4.7153548434874974e-29,CD302,1.3127383357035909e-10,SERPINA1,2.432324783440356e-28,SYT10,1.2963706275487043e-26,PYCARD,1.3931544249350945e-15,ATP6V1G1,7.354463732913984e-66,SH2D2A,1.0724109352856593e-20,NUDT8,1.7455563331865337e-21,RSPH4A,1.1733388032980687e-14,HMG20B,9.649061935579081e-26,MGST3,9.036194269294398e-23,TXNDC11,0.015085108174709464,CSTB,2.8856041374606196e-07,ACVRL1,9.340599981633114e-23,AC020656.1,3.648575389670499e-06,ADI1,4.401530302991747e-22,MRAS,2.0550529899399253e-09,RPL37,1.5901005958589903e-05,CLU,6.525774577267505e-08,CXCL1,4.7391740683951915e-06,OTUD1,1.075131870348557e-06,HLA-DPA1,9.835012052452491e-06,RAMP2,0.004073095037656178,RPS24,0.0002457945230135774,BAG3,0.003664550222961044,TMED3,0.0013224398753194902,TSTD1,2.0025808491451065e-06,STEAP2,3.2156668443656324e-07,TMBIM6,1.5886079212508253e-05,KDELR2,7.358781204908334e-08,STAB1,0.011771352410133787,PLK2,0.22416669378969345,PTN,0.0006513284050877978,CYCS,0.0015348236190472363,PPP1CB,0.0001571983192317795,TMED2,0.0009392460995963789,RPS25,3.359126167292495e-06,ENTPD5,0.00037069705488485124
